experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,new_job_title,sqrt_salary_in_usd,Cluster_Label
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,357.771,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,285.482,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,380.789,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,339.116,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,430.116,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,374.166,0
Executive level,Full-time,US,On-Site,US,MEDIUM,Other,574.021,0
Executive level,Full-time,US,On-Site,US,MEDIUM,Other,519.23,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,316.228,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,282.843,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,500.0,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,403.113,0
Mid/Intermediate level,Full-time,US,Full-Remote,US,MEDIUM,Other,447.214,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,380.789,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,316.228,0
Executive level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,380.789,0
Executive level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,339.116,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,451.11,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,389.872,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,488.876,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,350.571,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,486.826,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,380.789,0
Senior,Full-time,US,On-Site,US,MEDIUM,Management,437.91,0
Senior,Full-time,US,On-Site,US,MEDIUM,Management,366.382,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,435.89,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,334.664,0
Senior,Full-time,ES,Full-Remote,GB,LARGE,Data Science,297.079,1
Entry level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,291.548,0
Entry level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,254.951,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,367.423,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,324.808,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,541.295,0
Senior,Full-time,US,On-Site,US,MEDIUM,Other,430.116,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,282.843,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,264.575,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,469.042,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,400.0,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,418.33,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,380.789,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,447.214,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Engineering,385.357,0
Senior,Full-time,ES,On-Site,ES,MEDIUM,Data Science,219.748,1
Senior,Full-time,ES,On-Site,ES,MEDIUM,Data Science,196.548,1
Senior,Full-time,US,On-Site,US,LARGE,Data Engineering,490.408,0
Senior,Full-time,US,On-Site,US,LARGE,Data Engineering,351.71,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,391.024,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,342.199,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,415.933,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,336.155,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,509.902,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,368.782,0
Executive level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,418.33,0
Executive level,Full-time,US,On-Site,US,MEDIUM,Data Engineering,331.662,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,509.902,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,368.782,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,360.555,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,331.662,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,452.769,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,428.952,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,386.652,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,356.476,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,441.588,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,400.0,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,468.546,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Engineering,382.25,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,412.311,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,367.423,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,418.33,0
Senior,Full-time,US,Full-Remote,US,MEDIUM,Data Science,380.789,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,446.094,0
Senior,Full-time,US,On-Site,US,MEDIUM,Data Science,402.492,0
Senior,Full-time,US,On-Site,US,LARGE,Data Science,471.381,0
