experience_level,employment_type,employee_residence,remote_ratio,company_location,company_size,new_job_title,sqrt_salary_in_usd,Cluster_Label
0,2,7,0,7,1,1,248.596,0
3,2,7,0,7,1,1,400.0,0
3,2,7,0,7,1,1,360.555,0
3,2,0,2,0,1,2,507.937,2
3,2,0,2,0,1,2,435.89,2
3,2,7,2,7,1,2,412.311,0
3,2,7,2,7,1,2,367.423,0
2,2,7,2,7,1,0,409.268,0
2,2,7,2,7,1,0,326.343,0
3,2,7,2,7,1,2,441.588,0
3,2,7,2,7,1,2,400.0,0
2,2,7,2,7,1,1,382.099,0
2,2,7,2,7,1,1,273.861,0
0,2,4,0,4,0,1,244.72,0
1,2,7,0,7,1,1,534.79,0
1,2,7,0,7,1,1,454.973,0
3,2,7,0,7,1,1,316.228,0
3,2,7,0,7,1,1,282.843,0
3,2,7,2,7,1,1,472.493,0
3,2,7,2,7,1,1,422.611,0
1,2,7,2,7,1,4,594.306,0
1,2,7,2,7,1,4,499.3,0
2,2,7,2,7,1,5,479.583,0
2,2,7,2,7,1,5,469.042,0
3,2,7,0,7,1,2,545.252,0
3,2,7,0,7,1,2,445.197,0
2,2,7,0,7,1,2,458.258,0
2,2,7,0,7,1,2,389.615,0
3,2,7,0,7,1,2,447.214,0
3,2,7,0,7,1,2,412.311,0
3,2,7,2,7,1,2,563.09,0
3,2,7,2,7,1,2,413.195,0
3,2,7,2,7,1,1,357.771,0
3,2,7,2,7,1,1,285.482,0
0,2,5,2,5,1,1,146.496,1
3,2,4,2,4,1,5,328.634,0
3,2,4,2,4,1,5,244.949,0
2,2,7,0,7,1,5,366.06,0
2,2,7,0,7,1,5,352.136,0
3,2,7,2,7,1,1,413.824,0
3,2,7,2,7,1,1,337.268,0
3,2,7,2,7,1,1,406.202,0
3,2,7,2,7,1,1,363.731,0
3,2,7,2,7,1,2,474.342,0
3,2,7,2,7,1,2,418.33,0
3,2,7,2,7,1,1,479.583,0
3,2,7,2,7,1,1,352.846,0
3,2,7,2,7,1,3,497.494,0
3,2,7,2,7,1,3,414.97,0
3,2,7,2,7,1,1,418.33,0
3,2,7,2,7,1,1,380.789,0
3,2,7,2,7,1,1,385.616,0
